domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
ETP,proof_found,8,diagonal_indicator,0.0,0.8111111111111111,0.44785276073619634,"|--- diagonal_indicator <= 0.50
|   |--- class: 0
|--- diagonal_indicator >  0.50
|   |--- class: 0
"
ETP,countermodel_found,1,idempotence_indicator,0.10653471364432887,0.7888888888888889,0.7876040243448019,"|--- idempotence_indicator <= 0.50
|   |--- class: 1
|--- idempotence_indicator >  0.50
|   |--- class: 0
"
ETP,countermodel_found,2,projection_indicator,0.09371062913656747,0.6888888888888889,0.6022727272727273,"|--- projection_indicator <= 0.50
|   |--- class: 1
|--- projection_indicator >  0.50
|   |--- class: 0
"
ETP,countermodel_found,3,repeated_variables,0.037691382449825284,0.6111111111111112,0.3793103448275862,"|--- repeated_variables <= 2.50
|   |--- repeated_variables <= 0.50
|   |   |--- class: 1
|   |--- repeated_variables >  0.50
|   |   |--- repeated_variables <= 1.50
|   |   |   |--- class: 1
|   |   |--- repeated_variables >  1.50
|   |   |   |--- class: 1
|--- repeated_variables >  2.50
|   |--- repeated_variables <= 3.50
|   |   |--- class: 1
|   |--- repeated_variables >  3.50
|   |   |--- class: 1
"
ETP,countermodel_found,4,diagonal_indicator,0.035483663225465145,0.6222222222222222,0.587823275862069,"|--- diagonal_indicator <= 0.50
|   |--- class: 1
|--- diagonal_indicator >  0.50
|   |--- class: 0
"
ETP,countermodel_found,5,symmetry,0.022778957369110397,0.5555555555555556,0.5150862068965517,"|--- symmetry <= 0.71
|   |--- symmetry <= 0.06
|   |   |--- symmetry <= 0.03
|   |   |   |--- class: 1
|   |   |--- symmetry >  0.03
|   |   |   |--- class: 0
|   |--- symmetry >  0.06
|   |   |--- symmetry <= 0.13
|   |   |   |--- class: 1
|   |   |--- symmetry >  0.13
|   |   |   |--- class: 1
|--- symmetry >  0.71
|   |--- symmetry <= 0.98
|   |   |--- symmetry <= 0.72
|   |   |   |--- class: 0
|   |   |--- symmetry >  0.72
|   |   |   |--- class: 0
|   |--- symmetry >  0.98
|   |   |--- class: 1
"
ETP,countermodel_found,6,depth,0.014510904159052762,0.6777777777777778,0.5569512816160245,"|--- depth <= 6.50
|   |--- depth <= 1.50
|   |   |--- class: 0
|   |--- depth >  1.50
|   |   |--- depth <= 4.50
|   |   |   |--- class: 1
|   |   |--- depth >  4.50
|   |   |   |--- class: 1
|--- depth >  6.50
|   |--- class: 1
"
ETP,countermodel_found,7,affine_indicator,0.004294747222307604,0.5777777777777777,0.525,"|--- affine_indicator <= 0.50
|   |--- class: 1
|--- affine_indicator >  0.50
|   |--- class: 0
"
ETP,countermodel_found,8,variable_count,0.003628735745537792,0.5666666666666667,0.4222222222222222,"|--- variable_count <= 6.50
|   |--- variable_count <= 4.50
|   |   |--- variable_count <= 3.50
|   |   |   |--- class: 1
|   |   |--- variable_count >  3.50
|   |   |   |--- class: 1
|   |--- variable_count >  4.50
|   |   |--- variable_count <= 5.50
|   |   |   |--- class: 1
|   |   |--- variable_count >  5.50
|   |   |   |--- class: 1
|--- variable_count >  6.50
|   |--- variable_count <= 7.50
|   |   |--- class: 0
|   |--- variable_count >  7.50
|   |   |--- class: 1
"
ETP,combined,1,projection_indicator,0.2179686962224363,0.6444444444444445,0.25925925925925924,"|--- projection_indicator <= 0.50
|   |--- class: 0|0|1
|--- projection_indicator >  0.50
|   |--- class: 1|1|0
"
